Mes,Hora,MP_2.5,MP_10,Temp._promedio_aire,Precipitacion_horaria,Humed._rel._Promedio,Presion_Atm,Rad_solar,Veloc_viento,Direccion_viento
1,15,0,0,24.1,0,42.6,1013,905,1.7,110.2
1,16,2.04,0,23,0,49.9,1013,783.2,3.2,239.5
1,17,1,0,20.6,0,59,1013,617.1,3,245.8
1,18,1,0,20.1,0,54.2,1013,420.3,2.9,253.4
1,8,6.28,0,13.9,0,85,1017,86.1,0.7,3.6
1,9,10.87,0,14.8,0,79.9,1017,202.2,0.9,348.8
1,10,26.48,0,16.1,0,76.7,1017,314.6,1.8,340.8
1,11,3.85,0,20.1,0,64.1,1018,892,1,295.9
1,12,3.09,0,21.3,0,65.3,1018,434.5,0.8,71.2
1,13,1.44,0,22.6,0,64.9,1017,721,1.2,76.1
1,14,1.4,0,23.2,0,59.1,1017,562.5,2.2,213.7
1,15,1,0,23.8,0,63,1017,880,3,230.4
1,16,1,0,23.2,0,63,1017,753.1,3.2,265.8
1,17,1,0,23.1,0,63.3,1016,590.1,2.4,262.1
1,18,1.36,0,23,0,63.9,1016,407.5,2.2,222.5
1,8,30.54,0,14.3,0,99.4,1018,127.1,0.4,213.8
1,9,42.1,0,15.2,0,99.5,1018,324,0.3,79.4
1,10,1,0,18.7,0,95,1017,730.2,0.3,42.2
1,11,1,0,22.5,0,64.1,1017,741.2,1.7,275.5
1,12,1,0,23.3,0,62.6,1017,910,3,221.8
1,13,1.3,0,22.5,0,60.1,1017,904,3.4,260.9
1,14,3.99,0,22.8,0,54.6,1017,879,4.2,290.5
1,15,4.74,0,22.7,0,49.6,1017,818,4.1,197.6
1,16,2.27,0,22.6,0,53.1,1017,733.3,3.9,271.1
1,17,3.39,0,21.5,0,53.5,1017,595.1,5.1,242.7
1,18,1.45,0,22.4,0,48.5,1017,413.2,1.8,246.8
1,8,1.03,0,16.8,0,68.9,1019,346.2,1,173.7
1,9,2.04,0,19.2,0,66.6,1019,539.1,2.5,130.6
1,10,19.01,0,20.7,0,61.1,1018,717.1,2.8,125.5
1,11,5.43,0,22.7,0,55.1,1018,851,2.2,105.7
1,12,4.89,0,23.8,0,48.4,1018,926,2.2,68.8
1,13,2.72,0,24.7,0,50.9,1018,663.5,2,165.2
1,14,1.36,0,25.3,0,43.8,1017,653.1,2,174.6
1,15,3.11,0,25.4,0,51.3,1017,933,2.8,292.4
1,16,1,0,24.7,0,52.1,1017,768,3.7,252.9
1,17,1,0,24.2,0,51.2,1017,596.4,3.3,294
